
nis$ sed -n 1p full-book.txt
Thu Feb 24 18:43:11 EST 2022
Thu Feb 24 18:43:13 EST 2022
Thu Feb 24 18:43:14 EST 2022
Thu Feb 24 18:45:59 EST 2022
Thu Feb 24 18:46:00 EST 2022
Thu Feb 24 18:46:28 EST 2022
Thu Feb 24 18:46:33 EST 2022
Thu Feb 24 18:46:38 EST 2022
Thu Feb 24 18:47:00 EST 2022
Thu Feb 24 18:48:00 EST 2022
Thu Feb 24 18:49:00 EST 2022
Thu Feb 24 18:50:00 EST 2022
Thu Feb 24 18:51:00 EST 2022
Thu Feb 24 18:52:00 EST 2022
Thu Feb 24 18:53:00 EST 2022
Thu Feb 24 18:54:01 EST 2022
Thu Feb 24 18:55:00 EST 2022
Thu Feb 24 18:55:23 EST 2022
Thu Feb 24 18:56:00 EST 2022
Thu Feb 24 18:56:24 EST 2022
Thu Feb 24 18:57:00 EST 2022
Thu Feb 24 18:57:23 EST 2022
Thu Feb 24 18:58:00 EST 2022
Thu Feb 24 18:59:00 EST 2022
Thu Feb 24 19:00:00 EST 2022
Thu Feb 24 19:01:00 EST 2022
Thu Feb 24 19:02:00 EST 2022
Thu Feb 24 19:03:00 EST 2022
Thu Feb 24 19:04:00 EST 2022
Thu Feb 24 19:05:00 EST 2022
Thu Feb 24 19:05:43 EST 2022
Thu Feb 24 19:06:00 EST 2022
Thu Feb 24 19:07:00 EST 2022
Thu Feb 24 19:08:00 EST 2022
Thu Feb 24 19:09:00 EST 2022
Thu Feb 24 19:10:00 EST 2022
Thu Feb 24 19:11:00 EST 2022
Thu Feb 24 19:12:00 EST 2022
Thu Feb 24 19:13:00 EST 2022
Thu Feb 24 19:14:00 EST 2022
Thu Feb 24 19:15:00 EST 2022
Thu Feb 24 19:16:00 EST 2022
Thu Feb 24 19:17:00 EST 2022
Thu Feb 24 19:18:00 EST 2022
Thu Feb 24 19:19:00 EST 2022
Thu Feb 24 19:20:00 EST 2022
Thu Feb 24 19:21:00 EST 2022
Thu Feb 24 19:22:00 EST 2022
Thu Feb 24 19:23:00 EST 2022
Thu Feb 24 19:24:00 EST 2022
Thu Feb 24 19:25:00 EST 2022
Thu Feb 24 19:26:00 EST 2022
Thu Feb 24 19:27:00 EST 2022
Thu Feb 24 19:28:00 EST 2022
Thu Feb 24 19:29:00 EST 2022
Thu Feb 24 19:33:00 EST 2022
Thu Feb 24 19:34:00 EST 2022
Thu Feb 24 19:35:00 EST 2022
Thu Feb 24 19:36:00 EST 2022
Thu Feb 24 19:36:43 EST 2022
Thu Feb 24 19:37:00 EST 2022
Thu Feb 24 19:38:00 EST 2022
Thu Feb 24 19:39:00 EST 2022
Thu Feb 24 19:40:00 EST 2022
Thu Feb 24 19:41:00 EST 2022
Thu Feb 24 19:42:00 EST 2022
Fri Feb 25 11:00:00 EST 2022
Mon Feb 28 12:00:10 EST 2022
Tue Mar  1 11:00:00 EST 2022
Wed Mar  2 11:00:00 EST 2022
Wed Mar  2 19:55:13 EST 2022
Thu Mar  3 11:02:22 EST 2022
Thu Mar  3 14:25:49 EST 2022
Sat Mar  5 14:36:28 EST 2022
Sun Mar  6 11:00:01 EST 2022
Sun Mar  6 15:03:02 EST 2022
Tue Mar  8 14:50:21 EST 2022
Wed Mar  9 11:00:00 EST 2022
Thu Mar 10 11:00:00 EST 2022
Fri Mar 11 11:00:00 EST 2022
Wed Mar 16 11:00:00 EDT 2022
Mon Mar 21 11:00:00 EDT 2022
Tue Mar 22 11:00:00 EDT 2022
Wed Mar 23 11:00:00 EDT 2022
Thu Mar 24 11:00:00 EDT 2022
Fri Mar 25 11:00:00 EDT 2022
Mon Mar 28 11:00:00 EDT 2022
Tue Mar 29 11:00:00 EDT 2022
Wed Mar 30 11:00:00 EDT 2022
Thu Mar 31 11:00:00 EDT 2022
Fri Apr  1 11:00:01 EDT 2022
Sat Apr  2 11:00:00 EDT 2022
Sun Apr  3 11:00:01 EDT 2022
Mon Apr  4 11:00:01 EDT 2022
Tue Apr  5 11:00:00 EDT 2022
Wed Apr  6 11:00:00 EDT 2022
Thu Apr  7 11:02:47 EDT 2022
Fri Apr  8 11:00:00 EDT 2022
Mon Apr 11 11:00:00 EDT 2022
Tue Apr 12 11:00:00 EDT 2022
Wed Apr 13 11:00:00 EDT 2022
Thu Apr 14 11:00:00 EDT 2022
Sun Apr 17 11:00:00 EDT 2022
Mon Apr 18 11:00:00 EDT 2022
Tue Apr 19 11:00:00 EDT 2022
Wed Apr 20 11:00:00 EDT 2022
Fri Apr 22 11:00:00 EDT 2022
Sat Apr 23 11:00:00 EDT 2022
Mon Apr 25 11:00:00 EDT 2022
Tue Apr 26 11:00:00 EDT 2022
Wed Apr 27 11:00:00 EDT 2022
Thu Apr 28 11:00:01 EDT 2022
Fri Apr 29 11:00:01 EDT 2022
Mon May  2 11:00:00 EDT 2022
Tue May  3 11:00:00 EDT 2022
Wed May  4 11:00:00 EDT 2022
Thu May  5 11:00:00 EDT 2022
Tue May 10 11:00:00 EDT 2022
Wed May 11 11:00:01 EDT 2022
Thu May 12 11:00:00 EDT 2022
Fri May 13 11:00:01 EDT 2022
Mon May 16 11:00:00 EDT 2022
Tue May 17 11:00:00 EDT 2022
Fri May 20 11:00:00 EDT 2022
